"A","Agilent Technologies, Inc.","Diagnostics & Research","40.57B"
"AA","Alcoa Corporation","Aluminum","5.29B"
"AACG","ATA Creativity Global","Education & Training Services","18.90M"
"AACI","Armada Acquisition Corp. I","Shell Companies","75.12M"
"AACT","Ares Acquisition Corporation II","Shell Companies","671.88M"
"AADI","Aadi Bioscience, Inc.","Biotechnology","34.38M"
"AAGR","African Agriculture Holdings Inc.","Farm Products","8.10M"
"AAL","American Airlines Group Inc.","Airlines","6.32B"
"AAM","AA Mission Acquisition Corp.","Shell Companies","382.21M"
"AAMC","Altisource Asset Management Corporation","Mortgage Finance","8.40M"
"AAME","Atlantic American Corporation","Insurance - Life","31.21M"
"AAN","The Aaron's Company, Inc.","Rental & Leasing Services","316.48M"
"AAOI","Applied Optoelectronics, Inc.","Communication Equipment","297.65M"
"AAON","AAON, Inc.","Building Products & Equipment","6.94B"
"AAP","Advance Auto Parts, Inc.","Specialty Retail","3.64B"
"AAPL","Apple Inc","Consumer Electronics","3,371.36B"
"AAT","American Assets Trust, Inc.","REIT - Diversified","1.57B"
"AB","AllianceBernstein Holding L.P.","Asset Management","3.92B"
"ABAT","American Battery Technology Company","Other Industrial Metals & Mining","58.22M"
"ABBV","AbbVie Inc.","Drug Manufacturers - General","334.26B"
"ABCB","Ameris Bancorp","Banks - Regional","3.89B"
"ABCL","AbCellera Biologics Inc.","Biotechnology","858.64M"
"ABEO","Abeona Therapeutics Inc.","Biotechnology","192.52M"
"ABEV","Ambev S.A.","Beverages - Brewers","32.55B"
"ABG","Asbury Automotive Group, Inc.","Auto & Truck Dealerships","4.75B"
"ABIO","ARCA biopharma, Inc.","Biotechnology","45.12M"
"ABL","Abacus Life, Inc.","Insurance - Life","725.41M"
"ABLV","Able View Inc.","Advertising Agencies","45.65M"
"ABM","ABM Industries Incorporated","Specialty Business Services","3.44B"
"ABNB","Airbnb, Inc.","Travel Services","82.59B"
"ABOS","Acumen Pharmaceuticals, Inc.","Biotechnology","179.64M"
"ABR","Arbor Realty Trust, Inc.","REIT - Mortgage","2.51B"
"ABSI","Absci Corporation","Biotechnology","442.16M"
"ABT","Abbott Laboratories","Medical Devices","193.64B"
"ABTS","Abits Group Inc.","Capital Markets","20.80M"
"ABUS","Arbutus Biopharma Corporation","Biotechnology","704.86M"
"ABVC","ABVC BioPharma, Inc.","Biotechnology","8.68M"
"ABVE","Above Food Ingredients Inc.","Packaged Foods","43.60M"
"ABVX","Abivax SA","Biotechnology","757.29M"
"AC","Associated Capital Group, Inc.","Asset Management","716.11M"
"ACA","Arcosa, Inc.","Engineering & Construction","3.84B"
"ACAB","Atlantic Coastal Acquisition Corp. II","Shell Companies","89.84M"
"ACAC","Acri Capital Acquisition Corporation","Shell Companies","45.87M"
"ACAD","ACADIA Pharmaceuticals Inc.","Biotechnology","3.10B"
"ACB","Aurora Cannabis Inc.","Drug Manufacturers - Specialty & Generic","321.84M"
"ACCD","Accolade, Inc.","Health Information Services","298.43M"
"ACCO","ACCO Brands Corporation","Business Equipment & Supplies","444.72M"
"ACDC","ProFrac Holding Corp.","Oil & Gas Equipment & Services","1.24B"
"ACEL","Accel Entertainment, Inc.","Gambling","899.07M"
"ACET","Adicet Bio, Inc.","Biotechnology","118.33M"
"ACGL","Arch Capital Group Ltd.","Insurance - Diversified","37.05B"
"ACHC","Acadia Healthcare Company, Inc.","Medical Care Facilities","6.71B"
"ACHL","Achilles Therapeutics plc","Biotechnology","32.35M"
"ACHR","Archer Aviation Inc.","Aerospace & Defense","1.37B"
"ACHV","Achieve Life Sciences, Inc.","Biotechnology","160.03M"
"ACI","Albertsons Companies, Inc.","Grocery Stores","11.56B"
"ACIC","American Coastal Insurance Corporation","Insurance - Property & Casualty","542.85M"
"ACIU","AC Immune SA","Biotechnology","359.10M"
"ACIW","ACI Worldwide, Inc.","Software - Infrastructure","4.73B"
"ACLS","Axcelis Technologies, Inc.","Semiconductor Equipment & Materials","3.46B"
"ACLX","Arcellx, Inc.","Biotechnology","2.96B"
"ACM","AECOM","Engineering & Construction","12.01B"
"ACMR","ACM Research, Inc.","Semiconductor Equipment & Materials","969.81M"
"ACN","Accenture plc","Information Technology Services","202.42B"
"ACNB","ACNB Corporation","Banks - Regional","330.72M"
"ACNT","Ascent Industries Co.","Steel","101.70M"
"ACON","Aclarion, Inc.","Health Information Services","2.38M"
"ACR","ACRES Commercial Realty Corp.","REIT - Mortgage","120.18M"
"ACRE","Ares Commercial Real Estate Corporation","REIT - Mortgage","402.81M"
"ACRS","Aclaris Therapeutics, Inc.","Diagnostics & Research","91.22M"
"ACRV","Acrivon Therapeutics, Inc.","Biotechnology","233.12M"
"ACST","Acasti Pharma Inc.","Biotechnology","25.43M"
"ACT","Enact Holdings, Inc.","Insurance - Specialty","5.20B"
"ACTG","Acacia Research Corporation","Business Equipment & Supplies","487.49M"
"ACU","Acme United Corporation","Household & Personal Products","148.34M"
"ACVA","ACV Auctions Inc.","Auto & Truck Dealerships","2.62B"
"ACXP","Acurx Pharmaceuticals, Inc.","Biotechnology","33.39M"
